observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
HTML-FED-01,Federation_Delivery,HTML,snapshot_sha256,df12850df77727b18be9ec54ec9892bbb44cd3218f54b206a981225b1c04e3ed,view=primary_static_view,006d8444ecf4a5e94921421c9e40b575ed7a5577bc4e6233d7d8674d2772e5ea,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,4,7,8,5,8,6,8,7,8,9
HTML-QRC-01,QPLANT_Reliability_Cost_Dashboard_v2,HTML,v2,7d7c16467072fca63b307fcf00c2c6ef679c4cf35b373af02a9d60d15e0c4238,view=primary_static_view,5b83ff5e7ee1e13ca5d77948dc400d170d84b4b000d477fee9626befb1ee2146,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,8,7,8,7,8,6,8,8,8,9
HTML-QRP-01,QPLANT_Reliability_Poisson_Dashboard_v1,HTML,v1,8a1cd8913c435f3a0476e47baa7b6bdccd7b629bf4e94a047f1486dd532e9d34,view=primary_static_view,84516302fcbd224b88d463e72414bf49bb37aaa94b46e92581f2eb68a457381b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,9,7,8,8,8,6,8,8,8,9
HTML-QA16-01,QPS_ARTIFACT_QA_REVIEW_W16,HTML,snapshot_sha256,2553f57b16af86ca8f27a7f9937d3f55c495799375ae0f3828f8431e4e2825fb,view=primary_static_view,b81d266ff1cb49db9a2b8f4dcd7230cc2cdf16eeb62f1c09246884375265ee75,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,8,6,8,7,9,7,7,8
HTML-C114-01,QPS_C_Control_Live_Dashboard_W114,HTML,snapshot_sha256,e72a7b6457dc5cd37fbdb88ed6c9fb28f7cf141eabe982eeae0cc470f75b0da0,view=primary_static_view,034333f64b65ad7392cc2e456b711abb6b7ba8ac784336f6ab7b0bde62735719,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,6,8,5,8,6,8,6,5,6
HTML-C117-01,QPS_C_Control_Live_Dashboard_W117,HTML,snapshot_sha256,e1788ccb58b21fce045f709c2d47577ad57780a48f74ac63b3e4f3b4f7d26789,view=primary_static_view,e0e573542da20d098be2c35dadd89b9be4db05aecb50c351b1d89b14c769867c,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,6,7,8,7,8,6,8,7,7,8
HTML-C118-01,QPS_C_Control_Live_Dashboard_W118,HTML,snapshot_sha256,c11e5cd09c84e711fc2a9d383d744bda92a526b11bdb0f5a1e39946f0093fe07,view=primary_static_view,ecdea2c676da88d8840fe6ead8cc2c28c7b496189df97916e2cea825845f0821,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,6,7,8,7,8,6,8,7,7,8
H03-ALAT-CONS,QPS_ALAT_CONSOLIDATED_READER_v2_0,HTML,v2.0,b44bd9d295369999c13cc2abba6798ef2e1cc9f88cd9a1e5ce92986fda62dd5f,view=primary_static_view,312c94566e8d3fa24328eb12aa3ac95e6b4cc52229366bda72edcd585427b936,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,4,7,8,5,8,6,8,8,8,9
H03-ALAT-EVAL,QPS_ALAT_OFFER_EVAL_READER_v1.1_2026-09-07,HTML,v1.1.2026,a8a71dc672247a77c5239fd7741befb8f6d6eb849268fd196fdd85d67adeedb7,view=primary_static_view,f97580ae71d606c2125070ef094362572eefd9d596fff643fc651274a1e72b00,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,4,7,8,5,8,6,9,8,8,8
H03-IFACE,QPS_LKT_ALAT_COMPARATIVE_INTERFACE_GRAPH_v1.0,HTML,v1.0,dab1dbe7f20ae2400fb97242ec40dc8cb9519d915785a8a4c29ba78d0b37d775,view=primary_static_view,88995a42af7d3d818aee82ddab82ddb431b617174761d841267170f63ea5eb5d,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,4,7,8,6,8,6,8,8,8,8
H03-SPLIT,QPS_LKT_ALAT_OFFER_COMPLIANCE_SPLIT_CURRENT_2026-09-07,HTML,2026-09-07,307b6712376ad0d0cb1fa66b7d7cbbc20b3992307da1354064b203a38b549111,view=primary_static_view,dbe5fdae28fecc2417b08e10e28a3034c2b17bd3927916be53dfb43f871a41cc,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,7,8,9,7,8,6,8,8,7,9
H03-LKT-EVAL,QPS_LKT_OFFER_EVAL_READER_v1.1_2026-09-07,HTML,v1.1.2026,479b7dcc2e328b687ac376451d98de92d9bce4a152b35b6a2ce80469d0d02685,view=primary_static_view,8d1e45b595fa471434e8dbbf304a7b793290c664bc7f8fd6bfc6c1d441abcf7d,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,7,8,5,8,6,9,8,8,8
H03-COMPEND,QPS_OFFER_EVAL_COMPENDIUM_v1.1_2026-09-07,HTML,v1.1.2026,80a9a94c01a45af98b07518ee437e047bedc562c505f92274dada285db507251,view=primary_static_view,ecf71cf9b41a55fd83aafd39f9284eb6944d43200520b79d7a38f5ce1c693224,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,4,6,8,5,8,6,8,8,9,9
H03-ALAT-NC,QPS_W59_P01_ALAT_NONCOMPLIANCE_DASHBOARD,HTML,snapshot_sha256,6ab239ecc6853e6c59b4cfd5e100a5a5bfa85ca32ae73ca1fec16049107ba3c6,view=primary_static_view,07fa2b378406da096b33b5dd60e3198fb43996a046e6bf289337bb668b19b07e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,7,8,9,7,9,7,9,9,8,9
H03-REPO-CENSUS,TRIAGE_UNIFIED_REPO_CENSUS_W61,HTML,snapshot_sha256,1afe32022be80cf5b59c72a823e7cc38d9dc41aecf0d805cbe85693ff8bc4519,view=primary_static_view,ac6842cdb0dd1e7af11b8dbe513090bb7702ed4801efcd280916624e189622a4,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,7,8,9,7,9,6,9,9,8,9
