observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
PDF-O-01,QPS_OCD_ADR_Architecture_Preview_W13_v2,PDF,v2,5af82d99840f4cf58e2e61711358b1db0e13b4619aa6a68120a09dd03e24d4a3,,,page=1,3bac038b696128576200ddd3f37f15e2242f67605f9408707824cce2aea6d9fb,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,7,6,4,6,5,7,8,5,6
PDF-O-02,QPS_OCD_ADR_Architecture_Preview_W13_v2,PDF,v2,5af82d99840f4cf58e2e61711358b1db0e13b4619aa6a68120a09dd03e24d4a3,,,page=2,df7e6c6ceb5fb9fd15dd088a9ba6101569e2fc7e59d79ec6dc265879ef0f8890,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,6,3,7,6,4,6,5,7,8,4,5
PDF-O-03,QPS_OCD_ADR_Architecture_Preview_W13_v2,PDF,v2,5af82d99840f4cf58e2e61711358b1db0e13b4619aa6a68120a09dd03e24d4a3,,,page=3,059d355ec8215b4e0ac82673e091d3af889d1dbf0e5fa3893a36044624c23d63,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,6,5,7,6,5,6,5,7,8,5,5
PDF-O-04,QPS_OCD_ADR_Architecture_Preview_W13_v2,PDF,v2,5af82d99840f4cf58e2e61711358b1db0e13b4619aa6a68120a09dd03e24d4a3,,,page=4,6ab57dedc9bc0ffa8c730a1fd28a7811d986176c040b571680dce6dc51e0d231,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,8,6,4,6,5,7,8,5,5
PDF-W-01,QPS_DMAIC_NEGO_REPORT_W07_v0.1,PDF,v0.1,c41fee8cc6f45c4b20923a636d4daa775058f8407c9f7a1bdb4fceddc6e35bda,,,page=1,53b9ba7c2e757493ce2e011b89bd6e89210a77e4ec26afd4875d837f7f2887f8,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,4,8,8,5,8,7,9,9,7,8
PDF-W-02,QPS_DMAIC_NEGO_REPORT_W07_v0.1,PDF,v0.1,c41fee8cc6f45c4b20923a636d4daa775058f8407c9f7a1bdb4fceddc6e35bda,,,page=2,cbd72bda8df7a3ec10760ffd7bb947a9bae8ae21aa6b5bfd354b22123f84126e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,3,7,8,5,8,7,9,9,5,6
PDF-W-03,QPS_DMAIC_NEGO_REPORT_W07_v0.1,PDF,v0.1,c41fee8cc6f45c4b20923a636d4daa775058f8407c9f7a1bdb4fceddc6e35bda,,,page=3,d51f4641cd328cdcf3f37343ce3a98017673bf8d7eed59eeba25c64427ec2c70,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,7,9,5,8,6,8,7,9,9,7,8
PDF-FED-01,Federation_Report_page1,PDF,snapshot_sha256,6530b2b80b78de54cf69489789b6269c80c457a84c5e8745b306e5e8c62ed74a,,,page=1,dfc644732a79453a27d6f8c7068691c1c4672c0b518bde44253c6871d754c4b6,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,4,6,8,5,8,7,9,9,8,9
PDF-REP-01,QPS_AGENDA_NEXT_WAVE_CONTINUE_PAUSE_GATE_v8,PDF,v8,7a214e72e8d332734f98b137e80069e66c047863de60fd21c26b8fbaa88d6fc7,chatgpt-library://file_000000003d6c81f4b3d1b244db5176fc#page=1,chatgpt-library://file_000000003d6c81f4b3d1b244db5176fc#sha256=7a214e72e8d332734f98b137e80069e66c047863de60fd21c26b8fbaa88d6fc7,chatgpt-library://file_0000000028b0821097db7413ea324e82#page=1,7e8ddd9de00ca6a7882d043f6af33c0ed20e96bd5a0a472f8e5b525805654a3f,2026-09-13T01:18:00+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,4,9,8,5,9,7,9,9,8,9
PDF-QRC-01,QPLANT_Reliability_Cost_Integration_v2_page1,PDF,v2,5bf4f4d70d0b0c414cf28c414324e027bcb999763121244f93f8cab305bc596a,,,page=1,41bf8b914c9d271784e2e685e44a24b2045fc2bfd3a1a5872b5861ab547e070b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,9,8,9,9,8,9,9,9,8,9
