observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
PPT-U-01,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=1,c7fe932486409f1fb4e94a4624b7a8d4bc8d1d9d66201190ffef4b2522aeb3cc,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,6,7,8,7,9,7,8,9,8,9
PPT-U-02,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=2,56e567ba1139a7154e462f3251cbec6f95a69bf4c8124b6f0a1eb025a5c3976e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,9,8,7,9,7,8,9,8,9
PPT-U-03,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=3,efd28458f9236dd61693a637bc7f7f76f9dc9269fc571e202621c48e6c024b80,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,5,9,8,7,9,7,8,9,8,10
PPT-U-04,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=4,d84723be0748eb4a6489814cec81c55c6157a324bcc16b93895ba9654722d2dc,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,9,8,7,9,7,8,9,7,9
PPT-U-05,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=5,f53f135bd0c9af21330d1b058d466e43240598fa2967bdc6a3e77ba24f2e383a,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,7,8,8,8,7,9,6,8,9,7,8
PPT-U-06,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=6,88c8f1450abbc57cf42c2ffe5eb24f8d9080d4fd6cf218aeef0fa6f191b45721,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,9,8,8,7,9,6,8,9,7,9
PPT-U-07,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=7,40b3890414b0fc35e45ab3459cca040581a4c53d3a4fa441e5502cd3fbef0088,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,9,8,7,9,6,8,9,7,8
PPT-U-08,QPS_UTILITIES_COST_MANAGEMENT_CORE_v2,PPTX,v2,7f59ab2d530ce436ab1cb7e0ad789193e6bac58b71b668d78e0cb2b81f1e835d,,,slide=8,8ddab741ddaee38d98f4f0b0a5857353ffc6efc58e187d9a27ce01d583a585ed,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,9,8,7,9,6,8,9,7,9
T03-PROC,LKT_Process_Controls_Thermo_Architecture,PPTX,snapshot_sha256,9292de454896ae325bb024d5cc815b41c3d3a08562bbbab2d73da0d75b62de99,,,slide=1,775612e74e1440cb8840b4bd2b2d11ed3645cb6dd97dc714a7a6c571009ba42d,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,9,6,9,9,8,6,8,9,9,9
T03-W25,QPS_W25_PROGRESS_DOV_REVIEW_v0.1,PPTX,v0.1,2742643f3c4ce9fe47b0a7dd329f5bafa9c9e351cd14aabbab0370b92ac2a783,,,slide=1,cc0f7f0b979f93f2390171622b84615bc00d258aa9512f33c25efb00c07e522b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,7,7,9,7,8,6,9,9,8,10
T03-INVCOP,QPS_W53_P08B_LKT_invCOP_note,PPTX,snapshot_sha256,9a4542514575070e2c7586c4bfb5652f504cd75cb66fc2c05233475979802600,,,slide=1,a63545b63c4ecd318f42220cda7e6e2815e2b21cb993acb288f9965fdd13326e,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,8,7,8,8,8,7,9,9,8,9
T03-W54,QPS_W54_engineering_closure_brief,PPTX,snapshot_sha256,61b58323127f23866bd40557f07a215497ae9d0021b5d55916af0576144a0188,,,slide=1,181486658760b28e3665df19fba75afe602deaff09deac50d9acb53246123087,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,5,7,8,6,8,6,9,9,9,9
