observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,render_locator_page_slide_sheet_view,render_hash,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
XLSX-ALAT-DASH-01,QPS_ALAT_CONSOLIDATED_TRANSFER_SSOT_v2_0__ALAT_DASHBOARD,XLSX,v2.0,4b67d1780035d4b531114b27e485f80f4a189142db332c7348d8a32273ff3f7e,sheet=ALAT_DASHBOARD,c51e81c9d748feb32fcb460adac0245c86d8f218b20bb207266b0e065e5b7a99,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,4,9,8,5,8,6,8,7,8,9
XLSX-ALAT-OFFER-01,QPS_ALAT_OFFER_COMPLIANCE_SSOT_CURRENT_2026-09-07__START_HERE,XLSX,2026-09-07,479869b12d621e9b58d33c8a26eedf8e9c41d69e62e49d4bb3cf9e2dfacbbfd1,sheet=START_HERE,244573579627993603b83d6cc72cc774cf26fe19a2d17e19a2184996b16fc2ed,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,8,8,5,7,6,9,6,7,7
XLSX-IFACE-01,QPS_LKT_ALAT_COMPARATIVE_INTERFACE_GRAPH_v1_0__01_TOPIC_MATRIX,XLSX,v1.0,07388ceeebad011f135cc8b660df325682a492f26cddae8a95ec6ccf3b15ac9d,sheet=01_TOPIC_MATRIX,696b709dc5ca28dbcc6b3f717b1dad03cf16533c0c0f263fe8c3922fe5f450c5,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,5,3,7,7,5,7,5,8,6,4,5
XLSX-LKT-STATS-01,QPS_LKT_MEETING_SSOT_CURRENT_2026-09-10__07_STATS,XLSX,2026-09-10,8fe9f60e2b014dc02197e7f9c574bae1f88086266732a226da95a762ea7999a8,sheet=07_STATS,115fd07c3e6f9e3e7b826efb0e6db0a8a3f413d5731a7224cd7e70a0be6142d8,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,5,8,8,6,8,6,9,5,7,7
XLSX-W59-HOME-01,QPS_W59_P01_ALAT_NONCOMPLIANCE_HUMAN_REVIEW__HOME,XLSX,snapshot_sha256,594ffba7998fb504cac1cda1a78daf678b68e9e6b3cfa0e28b36443a6be137da,sheet=HOME,d868a7ff6e62101d4b584ee2f680a03e87cb93fe4e146bd4a536bc54a6f7f931,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,8,3,7,7,5,8,6,9,6,7,8
XLSX-W61-PEN-01,TRIAGE_UNIFIED_REPO_CENSUS_W61__Category_Penetration,XLSX,snapshot_sha256,ff22b512faea946367ac3c8d807f91210cf956550b40319ffb9a39e8dfc7468f,sheet=Category_Penetration,1c9fb94e1e4a43bf2ed6fa72ade7b3bdaf0aba5c6aa4432e0cf219c830276457,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,6,8,7,6,7,5,8,6,7,7
X03-FED,Federation_Delivery__Actions,XLSX,snapshot_sha256,2bbd212f25d20d610638157583ebef7783e3da6d6b3815968582810c23a874cb,sheet=Actions,3fa6f8fe7c11fd1a7fece9d5a648baa4ca39636199aa92702f02b0a5cf38a623,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,6,3,8,8,4,7,6,8,7,4,5
X03-ALAT-KT,QPS_ALAT_KNOWLEDGE_TRANSFER_SSOT_v1.1__00_BOARD_CORE,XLSX,v1.1,11f51cc625ef59758f81c06fcc161da78e681aa62200cc8dd14f4e943784e6a0,sheet=00_BOARD_CORE,9bb54e0d1898add97cee7aa86166c72006dfd852f0fdbd4035116d18a137af81,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,8,8,5,8,6,9,7,7,8
X03-ALAT-EVAL,QPS_ALAT_OFFER_EVAL_SSOT_v1.0_2026-09-07__START_HERE,XLSX,v1.0.2026,db3ee6bf765a389ec06dbe47b202c44dc967036f97eac40db34a9b58d3f4fd9b,sheet=START_HERE,50b5dd1c9c6cbf062f46eef517eeefff54ead834c2d4f74a79e17b8d7dc8cfa8,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,6,2,6,7,4,7,5,8,5,6,6
X03-LKT-CONS,QPS_LKT_CONSOLIDATED_TRANSFER_SSOT_v2_0__LKT_DASHBOARD,XLSX,v2.0,18bf7433892379acd60ec79142af49b06c49d6da6d065257466a987d3e905aad,sheet=LKT_DASHBOARD,a0c6b1d6eccdd2038e3d1258b38f329078ac75b94c4e0ac15b98b8680454918d,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,9,8,5,8,6,9,7,7,8
X03-LKT-KT,QPS_LKT_KNOWLEDGE_TRANSFER_SSOT_v1.0__01_SESSION_CONTROL,XLSX,v1.0,4950c7debfb2ef4d4ea8bba69411fe25acc1d9fcd5e295b6170302cb2bfdd088,sheet=01_SESSION_CONTROL,f621e6ac308301e12f3426e1cd9caebb2f18c6f7c09bcb18a8b061ad58f82e07,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,3,8,8,5,8,6,9,7,7,7
X03-LKT-EVAL,QPS_LKT_OFFER_EVAL_SSOT_v1.0_2026-09-07__DASHBOARD,XLSX,v1.0.2026,edaf9008790519e3e68d4ee977d0cd3130834c97693e7a8bc32b409d2ea3c67a,sheet=DASHBOARD,2546bd9670764bde7cd59da7e03949e0ff0f774185796eecdfce3a5644c3e431,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,6,8,8,6,8,6,9,6,7,8
X03-TRIAGE-CAN,QPS_OFFER_EVAL_TRIAGE_CANONICAL_v1_0__COMBINED,XLSX,v1.0,5ea6776ccabb6d9240a2c286ceb764f99f0de30c87ddeeba5c93d5cb2ffe5293,sheet=COMBINED,00a2a02c793d9aaf9e77b4dd9f3f7b48d1362e49e5cf31c21620f45ebb19b6f1,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,6,5,3,7,8,5,7,5,8,6,3,4
X03-TRIAGE-V3,QPS_OFFER_RTM_EVAL_TRIAGE_SSOT_2026-09-08_v3__START_HERE,XLSX,v3,31160e8ed9255b00b20536e8e867874c48885a295500380020347846f8252861,sheet=START_HERE,97192318d8096205c0622d3fa60f4e1d10bef1a78aae9e37e888ac0ed55c9f9b,2026-09-13T00:46:45+00:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,8,8,5,8,6,9,7,7,8
