observation_id,artifact_id,artifact_format,source_hash,render_hash,family_key,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
W173-SUB-HTML-1,QPS_PROJECT_SSOT_rev1_8_HTML,HTML,eace0237cf5b9444dfaa619e722703942d29d378374d3f55d9e7122207beee5b,036046732b72464724e526417a2817500edb3ed72063a0156ab1db25640effa0,qps_project_ssot,8,8,7,8,9,8,9,7,9,8,9,8
W173-SUB-HTML-2,QPS_WCS_QRB_Energy_rev1_7_HTML,HTML,f65aeace4dd75c4ebde1238fef2aa54c46621fcc23fdcfdb61b71957e6af4844,7e815df5bff6b28881dd1692648743dde615302e717663afbb074f1793817a17,qps_wcs_qrb_energy,9,9,8,8,9,9,9,7,9,9,9,9
W173-SUB-PDF-1,QPS_WCS_QRB_Energy_rev1_7_PDF,PDF,2a4263a65017a9b8c96326f7a24324cf5c0bd9d15474b9d2f045377a0628df8e,097078b91884cf3c63e7266cd23e58493ca359e725370939f97c949f24b4e0c2,qps_wcs_qrb_energy,9,9,8,8,9,9,9,7,9,10,8,9
W173-SUB-PDF-2,QPS_PROJECT_SSOT_rev1_8_PDF,PDF,4439a64aaff6c10a4f314794f1706ef24bb0df3d387ffb92f49ae86c76133653,1de3bc0eb67d24c7f8b20d3e15d0f7ae2c403c9e5b15fb36174cde829f74935d,qps_project_ssot,9,9,7,8,9,8,9,7,9,9,8,9
W173-N200-HTML-PEND-09,QPS_LKT_CORE_COMPLIANCE_DASHBOARD_W31,HTML,e67211f7487d715b19010d0926e717168dab5efa85feba82a8c25e59beed077c,340ca4ad95d68b3c0bf230f9c12d85a4744eae7bab1b7023461f9b54537f7f7e,qps_lkt_core_compliance_dashboard_w31,9,8,8,8,9,8,9,7,8,8,9,9
W173-N200-HTML-PEND-11,QPS_LKT_FULL_COMMENT_RESOLUTION_NAV_W47,HTML,130a4f0db2bc9bc6a10edf0a36ba8afa64a295177103578767b0402352e7be6b,befbe4fcc06838a70037b61dae71cac0780e9b79bd9f1ddb91298fa23b5d4466,qps_lkt_full_comment_resolution_nav_w47,8,8,8,9,8,8,8,6,7,8,10,8
W173-N200-HTML-PEND-14,QPS_NFS_BUILDING_UTILITIES_BURNDOWN_W21_6,HTML,e967db849017c2fb7456f3b8742cc08983f00a606554889f2690481af7290d77,b04ee1e24456cbec93f6753e5dbb7d8a7480b9c544f9af1477321cda764d9995,qps_nfs_building_utilities_burndown_w21_6,8,9,6,8,9,6,9,7,8,8,8,9
W173-N200-HTML-PEND-15,QPS_OCD_ADR_GRAPH_W36,HTML,1e1045d9d2c195be423141b8b5cbdcd5881ed5f1a30564b559574e6005fdb456,57423d117c9dbae085bbdc149a090fbb6aa53d047ae6c40e2f463808a64bbae1,qps_ocd_adr_graph_w36,7,7,3,9,7,4,8,6,8,7,9,7
W173-N200-HTML-PEND-16,QPS_SESSION_CLOSURE_GITHUB_ROUNDTRIP_20260904,HTML,3463165e6bec0e570c372190b542516f4d6d382dd47a86ca031f763ab5ee2a8f,e4e632f9daabda2fd6ff3669577ba5a55998105c6fad320fafd1d550bb226a41,qps_session_closure_github_roundtrip_20260904,9,9,5,8,9,6,9,7,9,9,8,9
W173-N200-PDF-PEND-01,230207 MOL-STUDY22 Final Report Rev3 complete with Attachments,PDF,3d8c69bbadc428845c63b80ba2f0f0f04b4ab82436953b1be640dd27b0833968,f9fcaf81424413244bd397e57fa2177cdc1c1fe5fee91f3c5e47d594be96879a,230207_mol_study22_final_report_complete_with_attachments,9,9,8,5,8,7,9,7,9,10,6,9
