observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,render_asset_locator,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility,queue_admission_class,source_token_containment_in_dom,horizontal_overflow,broken_images,console_error_count,page_error_count
W176-HTML-01,QPS_ALAT_NEG_RFI_CLARIFICATION_MASTER_W59_1,HTML,snapshot_sha256,db601846cd15b1a12a70d76b4c132a7e097962a6192ec05d2cbecabc7ce88bbb,view=primary_static_view,chatgpt-library://file_000000002d108210b6cf24398507e690#sha256=db601846cd15b1a12a70d76b4c132a7e097962a6192ec05d2cbecabc7ce88bbb,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,00cd8f8c7b2219ce15ebe47e3e59afe1d40c31721e1aac9a643c0eb3a3aee887,chatgpt-library://file_00000000ec3c81f5b034b0bc456767e7#sha256=00cd8f8c7b2219ce15ebe47e3e59afe1d40c31721e1aac9a643c0eb3a3aee887,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,7,7,4,8,7,4,7,6,8,8,9,7,PRIMARY_W162_4,1.0,False,0,0,0
W176-HTML-02,QPS_ALAT_SSOT_CURRENT_2026-09-07_READER,HTML,snapshot_sha256,90669f0ec01cd994e24c65ec5607166cd3e94b6b3e0273b39aadaba8b3aab89c,view=primary_static_view,chatgpt-library://file_00000000aea081f480bb4a2e30f2a0bd#sha256=90669f0ec01cd994e24c65ec5607166cd3e94b6b3e0273b39aadaba8b3aab89c,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,7a833cc5950bea1f98659f4618341825ee8bdd94bbe9068309fb729e64fc0c38,chatgpt-library://file_00000000090882438561f31838fcdbe4#sha256=7a833cc5950bea1f98659f4618341825ee8bdd94bbe9068309fb729e64fc0c38,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,8,5,8,6,9,8,8,9,PRIMARY_W162_5,1.0,False,0,0,0
W176-HTML-03,QPS_CANONICAL_HTML_ENTRYPOINT_W44,HTML,snapshot_sha256,bc8036cf3f8a47e8174346bd9b478e681979b804d5e3d685f7ba1458e968fd21,view=primary_static_view,chatgpt-library://file_00000000808881f4a204db35187beaba#sha256=bc8036cf3f8a47e8174346bd9b478e681979b804d5e3d685f7ba1458e968fd21,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,913cb3a23f9d69bfd0a5897e80e54c2cb717fac1523a292ae39ddf77ddb68855,chatgpt-library://file_00000000d55481f489b07b4af7bdaeed#sha256=913cb3a23f9d69bfd0a5897e80e54c2cb717fac1523a292ae39ddf77ddb68855,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,8,9,4,7,8,4,8,6,9,8,8,9,PRIMARY_W162_6,1.0,False,0,0,0
W176-HTML-04,QPS_LKT_AGENDA_READER_v1_0,HTML,snapshot_sha256,b0d844ca6cc25b701cdd96514eb11afc31edf23ca9ec19776dbe9e08e3db1efa,view=primary_static_view,chatgpt-library://file_00000000fca881f4abbb992532ec5d58#sha256=b0d844ca6cc25b701cdd96514eb11afc31edf23ca9ec19776dbe9e08e3db1efa,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,d97548ca4192cc8d89557b7960cfa499bb3e0016bf7c21296fe3046b885d1d92,chatgpt-library://file_00000000f11481f4b54ff4bdc94d5576#sha256=d97548ca4192cc8d89557b7960cfa499bb3e0016bf7c21296fe3046b885d1d92,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,3,7,7,4,8,6,8,8,8,8,PRIMARY_W162_7,1.0,False,0,0,0
W176-HTML-05,QPS_LKT_CORE_COMPLIANCE_DASHBOARD_W42,HTML,snapshot_sha256,5ef3de54a2a755093dfd182925fd7644b07ffa03b19d2c8df7cfafbf926403cf,view=primary_static_view,chatgpt-library://file_0000000021b882108cec070433e00e6f#sha256=5ef3de54a2a755093dfd182925fd7644b07ffa03b19d2c8df7cfafbf926403cf,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,30edd94b708b28673084052824d1857574199f1771c1efb9e33bcd233895b79d,chatgpt-library://file_0000000099f481f4bed32d01b3c5f58e#sha256=30edd94b708b28673084052824d1857574199f1771c1efb9e33bcd233895b79d,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,9,8,8,8,9,8,9,7,9,9,9,9,PRIMARY_W162_10,1.0,False,0,0,0
W176-HTML-06,QPS_LKT_KNOWLEDGE_TRANSFER_SSOT_v1.0,HTML,snapshot_sha256,d30b55b7f8945a38222206fe08a36116cdd368dd21cf832949e96b18f98368c1,view=primary_static_view,chatgpt-library://file_00000000d914824694eebac976254e9a#sha256=d30b55b7f8945a38222206fe08a36116cdd368dd21cf832949e96b18f98368c1,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,858958762855cb5a714ef4156b7c63c94c70081a674ca96cf1e5064bbe785542,chatgpt-library://file_00000000c328820c831139b0a9ca7cf1#sha256=858958762855cb5a714ef4156b7c63c94c70081a674ca96cf1e5064bbe785542,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,4,8,8,5,8,6,9,8,8,8,PRIMARY_W162_12,0.998592,False,0,0,0
W176-HTML-07,QPS_LKT_SSOT_CURRENT_2026-09-07_READER,HTML,snapshot_sha256,d3b023d5e67310ae50b4063ead355626ae870fc5c88578c7b612ed498cf010a3,view=primary_static_view,chatgpt-library://file_0000000074d482108ebfccb208ade46d#sha256=d3b023d5e67310ae50b4063ead355626ae870fc5c88578c7b612ed498cf010a3,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,6f9b0de9b6c44fa8044e3c677b4932a8ba908a4b3aa22ebcb8d58b926b4c35bc,chatgpt-library://file_000000008ecc821189478172ac475a9b#sha256=6f9b0de9b6c44fa8044e3c677b4932a8ba908a4b3aa22ebcb8d58b926b4c35bc,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,8,5,8,6,9,8,8,9,PRIMARY_W162_13,1.0,False,0,0,0
W176-HTML-08,QPS_SPATIAL_PRESSURE_PCA_CURRENT,HTML,snapshot_sha256,141620cce653723d1d9c54e36fb6386d6bfbd4f2d5c9fa73f4e8f66b37e0e9ae,view=primary_static_view,chatgpt-library://file_000000000c4881f48b051d56d8a47189#sha256=141620cce653723d1d9c54e36fb6386d6bfbd4f2d5c9fa73f4e8f66b37e0e9ae,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,da2d69e1713a36558762763312ace1da92ac2b4b9285df1f90f1a4a365064aa4,chatgpt-library://file_000000003e1082108deab4293b66aca0#sha256=da2d69e1713a36558762763312ace1da92ac2b4b9285df1f90f1a4a365064aa4,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,7,9,2,5,7,3,8,6,8,8,5,8,PRIMARY_W162_19,1.0,False,0,0,0
W176-HTML-09,QPS_W41_SESSION_CLOSURE_ROUNDTRIP,HTML,snapshot_sha256,83cc15c11fc1369a72782a50b7b795eed0782f0bd54afca392ede65af504b051,view=primary_static_view,chatgpt-library://file_000000006c20822f89a850049ea43f51#sha256=83cc15c11fc1369a72782a50b7b795eed0782f0bd54afca392ede65af504b051,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,c34eea1043c17cb8c5d600f32000c5b52ba49214d2153c740b8f3470a2c3195a,chatgpt-library://file_000000004a1c81f4b0903c77cc07579e#sha256=c34eea1043c17cb8c5d600f32000c5b52ba49214d2153c740b8f3470a2c3195a,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,9,9,8,8,9,8,9,7,9,9,8,9,AUTHORIZED_RESERVE_W162_21,1.0,False,0,0,0
W176-HTML-10,W52_P2J_QPLANT_Mass_Energy_COST_Master_Dashboard,HTML,snapshot_sha256,9fd0814b5c1fa706696732c3e142b7725f66c7f27842ff1cc6a8f808456b6d34,view=primary_static_view,chatgpt-library://file_00000000502c81f493c3ec5ac25fb8f8#sha256=9fd0814b5c1fa706696732c3e142b7725f66c7f27842ff1cc6a8f808456b6d34,viewport=1440x1000;full_page=true;chromium=set_content_exact_utf8_source,2b5752a0692199432cb9b7d0a3443d59c91c8124476d05f59d3b04a1cd6116dd,chatgpt-library://file_000000001bb0820a9ec39f14b4068928#sha256=2b5752a0692199432cb9b7d0a3443d59c91c8124476d05f59d3b04a1cd6116dd,2026-09-14T13:45:00+02:00,GPT-5.6-Sol_visual_census_review,True,True,8,8,5,8,8,5,8,6,8,8,9,8,AUTHORIZED_RESERVE_W162_24,1.0,False,0,0,0
