observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,render_asset_locator,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,queue_role,queue_source_id,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
W176-PPTX-W162-50,2026-06-05 MINERVA DSBT(3),PPTX,snapshot_sha256,b4cebed655df7aa8e5230512a6dcebc4583499270d239ddd7f8f5752802b36e9,slide=1,chatgpt-library://file_00000000424071f48c92dc6d973b3bac#slide=1&sha256=b4cebed655df7aa8e5230512a6dcebc4583499270d239ddd7f8f5752802b36e9,slide=1_libreoffice_pdf_pdftoppm_150dpi,f482cfc52f2fd6dc998a2c2235b35576f9872d06a297b2257213d59f672d4153,chatgpt-library://file_00000000cfe881f5a7801df8d433a8e4,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,50,7,8,7,6,8,7,7,6,6,8,6,8
W176-PPTX-W162-51,Cryoplant and QDB interactions (Linac cool-down and cryoplant trips) - MASTER,PPTX,snapshot_sha256,528498f91093198e1909c196aad155e6af9b1d59a8d85c2e8478bda8c2a1b771,slide=1,chatgpt-library://file_000000002c2471f4b7a7f6a94ff6bc09#slide=1&sha256=528498f91093198e1909c196aad155e6af9b1d59a8d85c2e8478bda8c2a1b771,slide=1_libreoffice_pdf_pdftoppm_150dpi,0b64bd3191a365ced351c5fb2193c68d9079de1e63e7a75d180e72f682f231e8,chatgpt-library://file_00000000f3dc81f484f98e0ef388d3f8,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,51,8,9,9,6,9,8,8,7,7,9,7,9
W176-PPTX-W162-52,MINERVA Asset Management_Core,PPTX,snapshot_sha256,939c4c40b7eb60dc355d9c92ca00919bfce1835854ec10950bc9121920e846fc,slide=1,chatgpt-library://file_000000006618720a81818089d8a706b0#slide=1&sha256=939c4c40b7eb60dc355d9c92ca00919bfce1835854ec10950bc9121920e846fc,slide=1_libreoffice_pdf_pdftoppm_150dpi,79d8d751403daf17211d0896f7bf133229a95e54c5d55d91a8ccf635d3181240,chatgpt-library://file_00000000cfe8824687b331f10c7e902e,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,52,8,9,9,6,9,8,8,7,7,9,7,9
W176-PPTX-W162-58,QPS_Control_Core_TOPIC - Copy,PPTX,snapshot_sha256,8e15b95ad2a2fefc1548367352eda0df6e2eb60eee878264c5f1f7a80579479a,slide=1,chatgpt-library://file_000000001134720aadaccd07c8087aa8#slide=1&sha256=8e15b95ad2a2fefc1548367352eda0df6e2eb60eee878264c5f1f7a80579479a,slide=1_libreoffice_pdf_pdftoppm_150dpi,ef2c1ccbe76d91d157e4196320a9d6896d00a6293a0d9398ffc9a58759798ed3,chatgpt-library://file_00000000d5e08210b288ed9d1ee3c066,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,58,8,9,8,6,9,8,8,6,7,9,6,9
W176-PPTX-W162-59,QPS_Cybersecurity_AD07_Post_Pivot_Update(3),PPTX,snapshot_sha256,901f45c6a0b879141f17f0c40e57f04689ba570fe7b1083cec9e4a8a1d373da2,slide=1,chatgpt-library://file_00000000eb44722fa85cc5ea38945c20#slide=1&sha256=901f45c6a0b879141f17f0c40e57f04689ba570fe7b1083cec9e4a8a1d373da2,slide=1_libreoffice_pdf_pdftoppm_150dpi,c8e499581c237505b95fcda980566633ab3871a866b88a17cc52ac12fbceb9d2,chatgpt-library://file_00000000814081f6b813d851c1139116,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,59,9,9,7,8,9,8,9,7,8,9,8,9
W176-PPTX-W162-62,QPS_pressure_massflow_update_v2,PPTX,snapshot_sha256,446291942411fed6c6e73567516a7b7a3335c1f5ff8e1ed34683ea688b6ac96a,slide=1,chatgpt-library://file_0000000092a071f4b2f75240bf31658a#slide=1&sha256=446291942411fed6c6e73567516a7b7a3335c1f5ff8e1ed34683ea688b6ac96a,slide=1_libreoffice_pdf_pdftoppm_150dpi,09164dc2edf469fd591b39c65a27197b0db8d9b77ddbe25d002e055fb2af852c,chatgpt-library://file_00000000cacc81f48e1a1e897b903a09,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,62,9,9,8,9,9,9,9,8,9,9,8,9
W176-PPTX-W162-63,QPS_SBS_NAMING_Tagging_Core_TOPIC,PPTX,snapshot_sha256,290d1972870942036411cceafdbd677417ee858361ad7665631723f1e519deea,slide=1,chatgpt-library://file_00000000133071f484b1b942e61c1355#slide=1&sha256=290d1972870942036411cceafdbd677417ee858361ad7665631723f1e519deea,slide=1_libreoffice_pdf_pdftoppm_150dpi,b195587c19e22fe186e1265639668734ad04e3d316cdb630a06b52d4aba73dfd,chatgpt-library://file_00000000495481f4a9f2184edd4837ef,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,63,8,8,4,7,8,6,8,6,7,8,7,8
W176-PPTX-W162-64,QPS_slide_style,PPTX,snapshot_sha256,09e8a70c7073b329d1036a7fd55a58242bdf05b18a9b9a8ade62a8c18d28bceb,slide=1,chatgpt-library://file_00000000f168720a925465140bf2e3b6#slide=1&sha256=09e8a70c7073b329d1036a7fd55a58242bdf05b18a9b9a8ade62a8c18d28bceb,slide=1_libreoffice_pdf_pdftoppm_150dpi,4614c75e328198c9810baa82e0f61737921514cca5562ba0938475b252fc6803,chatgpt-library://file_00000000f2ec81f4a7b7985a5f0d6f18,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,64,9,8,7,9,8,6,8,7,7,9,6,8
W176-PPTX-W162-66,QPS_Suporting_Sytems_FULL_SLINE,PPTX,snapshot_sha256,230293d18574d760dcca87feafdd9c320e973d673c42dc9a511f4ddc3ec0128d,slide=1,chatgpt-library://file_00000000a38071f4abbbe64ce02b104d#slide=1&sha256=230293d18574d760dcca87feafdd9c320e973d673c42dc9a511f4ddc3ec0128d,slide=1_libreoffice_pdf_pdftoppm_150dpi,1f0db469304142230d61e8d3a20959e1c1075313caa5f5a2187f18143d77fb84,chatgpt-library://file_000000008ea4824688be9de3c0cee11c,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,66,8,8,4,7,8,6,8,6,7,8,7,8
W176-PPTX-W162-69,QPS_worksheet_comment,PPTX,snapshot_sha256,937cbff16af424cf6fae70268051aed45aaa16be3e8270cf7b7454123a6afcaf,slide=1,chatgpt-library://file_0000000065a871f4b364ffce0cbb71bc#slide=1&sha256=937cbff16af424cf6fae70268051aed45aaa16be3e8270cf7b7454123a6afcaf,slide=1_libreoffice_pdf_pdftoppm_150dpi,ffed9cbf6093942505c759650dcc993ec1804f6b4b68633e3b14a29ce3a4c158,chatgpt-library://file_00000000f78c820a8f921be62fb66cd3,2026-09-14T09:58:30+02:00,GPT-5.6-Sol_W176_authoritative_queue_review,True,True,PRIMARY,69,6,6,6,5,7,6,7,5,6,7,4,5
