precedent_id,precedent_title,rtm_id,membership_role,criterion_status,closure_report_rtm,lifecycle_gate,acceptance_authority,authority,guardrail
VP-SAT-00,SAT governance and evidence controls,RTM-499,CANONICAL_ANCHOR,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-500,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-501,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-502,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-503,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-504,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-505,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-506,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-507,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
VP-SAT-00,SAT governance and evidence controls,RTM-508,MEMBER,MANDATORY_LEAF_ACCEPTANCE_CRITERION_PRESERVED,RTM-586,L6 -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,DERIVED_REVIEW_MEMBERSHIP_ZERO_AUTHORITY_DELTA,"Precedent membership does not merge, waive, score, rewrite or relax this RTM."
